"conversation_id_str,""""created_at""","""favorite_count""","""full_text""","""id_str""","""image_url""","""in_reply_to_screen_name""","""lang""","""location""","""quote_count""","""reply_count""","""retweet_count""","""tweet_url""","""user_id_str""","""username"
"1919872519991074901,""""Tue May 06 21:50:52 +0000 2025""","""0""","""Hasilnya gak kaget. Emang pasti inter harusnya. pelatih ajimumpung ditambah skuad muda norak modal adrenalin yagabakal juara ucl. Malah inter yg remontada @barcastuff_idn @PenyaIndoBarca @AfifXavi""","""1919872519991074901""","""""","""""","""in""","""jawa barat""","""0""","""0""","""0""","""https://x.com/halimwiraa/status/1919872519991074901""","""1545853668""","""halimwiraa"
"1919663464500297892,""""Tue May 06 21:43:36 +0000 2025""","""1""","""@ruddierawk @Duniamistikkk Kacaww kalo pola pikir anda seperti ini asal bacot aja loe tong postingan anda si paling aktivis pasti cuma ikut demo2 aja buat bahan posting biar dikatakan keren ya kkkkk...norak""","""1919870691228451075""","""""","""ruddierawk""","""in""","""""","""0""","""0""","""0""","""https://x.com/1305Pastel67686/status/1919870691228451075""","""1720949949096230912""","""1305Pastel67686"
"1919595928614588861,""""Tue May 06 21:28:52 +0000 2025""","""0""","""@pinkeufa chill chill emang kaki gede napa ??? norak lo ga pernah liat? bagus kaki gua gede. make sepatu apa2 bagus kelihatannya ga bantet? sirik lu! gituinnnn dong beb""","""1919866982935224710""","""""","""pinkeufa""","""in""","""+62 ""","""0""","""0""","""0""","""https://x.com/angelynataly/status/1919866982935224710""","""177067588""","""angelynataly"
"1919866054324670808,""""Tue May 06 21:25:11 +0000 2025""","""0""","""Luhut dan Jokowi bersepakat untuk membangun daerahnya masing-masing dan memperkaya keluarga masing-masing. kau itu yang Ndeso Luhut Norak kau!!""","""1919866054324670808""","""""","""""","""in""","""""","""0""","""0""","""0""","""https://x.com/nonreginanon/status/1919866054324670808""","""1740591866658291712""","""nonreginanon"
"1919865736438161625,""""Tue May 06 21:23:55 +0000 2025""","""0""","""Kalo Luhut bilang orang-orang yang mengkritik kampungan dan iri urusan kepentingan politik Luhut itu saya bilang Ndeso Norak!!""","""1919865736438161625""","""""","""""","""in""","""""","""0""","""0""","""0""","""https://x.com/nonreginanon/status/1919865736438161625""","""1740591866658291712""","""nonreginanon"
"1919865037218578922,""""Tue May 06 21:21:08 +0000 2025""","""3""","""yang awalnya asik aja ujungnya asing juga. ga usah terlalu dipamerin norak.""","""1919865037218578922""","""""","""""","""in""","""""","""1""","""3""","""1""","""https://x.com/diselangkangen/status/1919865037218578922""","""1682622428302970881""","""diselangkangen"
"1918944647180960171,""""Tue May 06 21:19:01 +0000 2025""","""0""","""@DokterTifa Kaya ibu ibu Facebook deh ini ibu main FB aja jgn main x kelakuannya norak""","""1919864503304651002""","""""","""DokterTifa""","""in""","""Malang, Jawa Timur""","""0""","""0""","""0""","""https://x.com/peachyunn/status/1919864503304651002""","""1580826648001536002""","""peachyunn"
"1919706936855167217,""""Tue May 06 21:18:46 +0000 2025""","""0""","""@senshineey dipake ngampuss jga ga keliatan norak""","""1919864440247480709""","""""","""senshineey""","""in""","""""","""0""","""0""","""0""","""https://x.com/inisayaudin/status/1919864440247480709""","""1168511548525924352""","""inisayaudin"
"1919858900632809483,""""Tue May 06 20:56:45 +0000 2025""","""1""","""Norak LBP ga ilang2. Emang Dia Siapa Berani Ngomong spt itu ke Para Jenderal (Purn) yg jelas jasanya bagi NKRI. LBP tak dipakai jaman Pak Harto sebab ngaco kek gini.""","""1919858900632809483""","""""","""""","""in""","""""","""0""","""0""","""0""","""https://x.com/info_edubisnis/status/1919858900632809483""","""3152238055""","""info_edubisnis"
"1919789377502511257,""""Tue May 06 20:25:05 +0000 2025""","""18""","""@joliena111 Norak dan kampungan banget ternyata. Astaga kecewa sekali gue. Ga ada perasaan bersalah. Gimana teman2nya di Korea ngelihat ini. Bermuka dua banget""","""1919850931023446167""","""""","""joliena111""","""in""","""""","""0""","""0""","""0""","""https://x.com/woipannn/status/1919850931023446167""","""1376079723059539971""","""woipannn"
"1919718096329441614,""""Tue May 06 20:10:11 +0000 2025""","""0""","""@puenake keknya kalimat lempar jambak siram lagi laris manis ya semenjak kasus mcm btw gak tau juga sih kebetulan aja tuh keknya nemu 4rmy yg norak paling juga masih bocil (idgaf if they're a grown ups if u acted that way i would assume u're not bigger than a 12 year old)""","""1919847179419549952""","""""","""puenake""","""in""","""""","""0""","""1""","""0""","""https://x.com/slumberdumber/status/1919847179419549952""","""1602657915382378496""","""slumberdumber"
"1919846029433696714,""""Tue May 06 20:05:37 +0000 2025""","""0""","""LUL ada ular di lorong san siro norak kali ""","""1919846029433696714""","""""","""""","""in""","""""","""0""","""0""","""0""","""https://x.com/RyanldiPatel/status/1919846029433696714""","""105701791""","""RyanldiPatel"
"1919841791177633909,""""Tue May 06 19:50:51 +0000 2025""","""0""","""@duhhnut @idextratime Gak usah gitu norak""","""1919842316140826708""","""""","""duhhnut""","""in""","""""","""0""","""1""","""0""","""https://x.com/ForUSlove70/status/1919842316140826708""","""1762384615652904960""","""ForUSlove70"
"1919841042313929014,""""Tue May 06 19:49:26 +0000 2025""","""0""","""@tamararezki1 @BarcaaInside gabisa nyalahin wasitnya juga si ini gameplaynya aja yg norak""","""1919841958371197035""","""""","""tamararezki1""","""in""","""""","""0""","""0""","""0""","""https://x.com/Adjiehadi1/status/1919841958371197035""","""1132894541164363777""","""Adjiehadi1"
"1919825651550285997,""""Tue May 06 18:44:39 +0000 2025""","""0""","""Orang lain gabakal tanggung jawab juga loh kalo kamu tiba² mengakhiri hidup Jadi ketika kamu masih bisa bertahan dengan cara yang paling norak sekalipun gapapa.. Itu lebih baik dari pada menyerah sama hidup.""","""1919825654477914295""","""""","""rin7i""","""in""","""DKI Jakarta, Indonesia""","""0""","""0""","""0""","""https://x.com/rin7i/status/1919825654477914295""","""1216053807945109505""","""rin7i"
